servico,id_validador,latitude,longitude,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
VLT-Linha 1,B35T020D00210010,-22.8994547,-43.19919908,2026-04-26,ABERTO,2026-04-26 00:00:45.52031,2026-04-26 00:04:45.679199,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205948,-22.8993772,-43.19917097,2026-04-26,ABERTO,2026-04-26 00:00:50.619077,2026-04-26 00:04:50.727105,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208361,-22.89955623,-43.19916494,2026-04-26,ABERTO,2026-04-26 00:00:48.725908,2026-04-26 00:04:48.869036,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209189,-22.89960513,-43.19916295,2026-04-26,ABERTO,2026-04-26 00:00:24.711878,2026-04-26 00:04:24.461825,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208946,-22.89934153,-43.19915762,2026-04-26,ABERTO,2026-04-26 00:00:50.557295,2026-04-26 00:04:51.22582,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209845,-22.89944914,-43.19913014,2026-04-26,ABERTO,2026-04-26 00:00:46.354102,2026-04-26 00:04:46.304412,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00204083,-22.89890321,-43.19912365,2026-04-26,ABERTO,2026-04-26 00:00:49.293899,2026-04-26 00:04:49.366962,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209025,-22.89869392,-43.1991169,2026-04-26,ABERTO,2026-04-26 00:00:41.645478,2026-04-26 00:04:41.716114,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00206250,-22.89964904,-43.1991143,2026-04-26,ABERTO,2026-04-26 00:00:46.468515,2026-04-26 00:04:46.661104,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00203873,-22.89979637,-43.19907506,2026-04-26,ABERTO,2026-04-26 00:00:55.293844,2026-04-26 00:04:55.63925,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209204,-22.89953952,-43.19906165,2026-04-26,ABERTO,2026-04-26 00:00:47.612443,2026-04-26 00:04:47.982851,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209303,-22.89935525,-43.19905809,2026-04-26,ABERTO,2026-04-26 00:00:50.331179,2026-04-26 00:04:50.486139,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205855,-22.89876534,-43.19905771,2026-04-26,ABERTO,2026-04-26 00:00:50.723694,2026-04-26 00:04:50.644209,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00207357,-22.89950462,-43.19904225,2026-04-26,ABERTO,2026-04-26 00:00:48.313572,2026-04-26 00:04:47.146738,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00206160,-22.89973294,-43.19902292,2026-04-26,ABERTO,2026-04-26 00:00:47.476885,2026-04-26 00:04:48.522359,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209196,-22.89981159,-43.19902138,2026-04-26,ABERTO,2026-04-26 00:00:59.521102,2026-04-26 00:04:59.752352,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209206,-22.89946801,-43.19901949,2026-04-26,ABERTO,2026-04-26 00:00:49.315108,2026-04-26 00:04:49.341311,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210003,-22.89956528,-43.1989948,2026-04-26,ABERTO,2026-04-26 00:00:52.72844,2026-04-26 00:04:52.884109,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00207689,-22.89963299,-43.19897157,2026-04-26,ABERTO,2026-04-26 00:00:54.478031,2026-04-26 00:04:54.695353,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209847,-22.89884102,-43.19895574,2026-04-26,ABERTO,2026-04-26 00:00:48.880198,2026-04-26 00:04:49.212116,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209198,-22.89987407,-43.19894289,2026-04-26,ABERTO,2026-04-26 00:00:56.346122,2026-04-26 00:04:56.448478,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205919,-22.89996655,-43.19892579,2026-04-26,ABERTO,2026-04-26 00:00:46.505197,2026-04-26 00:04:46.722309,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208716,-22.89997706,-43.19891962,2026-04-26,ABERTO,2026-04-26 00:00:54.30546,2026-04-26 00:04:54.676722,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209849,-22.89881299,-43.19891855,2026-04-26,ABERTO,2026-04-26 00:00:35.743479,2026-04-26 00:04:35.373296,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205947,-22.89945313,-43.19888562,2026-04-26,ABERTO,2026-04-26 00:00:50.537568,2026-04-26 00:04:50.949976,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210004,-22.89885803,-43.19887057,2026-04-26,ABERTO,2026-04-26 00:00:53.184476,2026-04-26 00:04:53.334439,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210000,-22.89898925,-43.1988508,2026-04-26,ABERTO,2026-04-26 00:00:49.186102,2026-04-26 00:04:49.329879,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00205854,-22.89885652,-43.19884457,2026-04-26,ABERTO,2026-04-26 00:00:45.440567,2026-04-26 00:04:45.254361,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00206227,-22.89885616,-43.19879586,2026-04-26,ABERTO,2026-04-26 00:00:50.707904,2026-04-26 00:04:50.873828,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00204196,-22.89982704,-43.19877535,2026-04-26,ABERTO,2026-04-26 00:00:56.336748,2026-04-26 00:04:56.575189,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208960,-22.89982445,-43.19867666,2026-04-26,ABERTO,2026-04-26 00:00:43.507524,2026-04-26 00:04:43.367274,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209099,-22.89972978,-43.19860936,2026-04-26,ABERTO,2026-04-26 00:00:51.576365,2026-04-26 00:04:51.94436,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209264,-22.9004462,-43.1985466,2026-04-26,ABERTO,2026-04-26 00:00:50.432578,2026-04-26 00:04:50.75503,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00208079,-22.89882222,-43.1984791,2026-04-26,ABERTO,2026-04-26 00:00:48.466966,2026-04-26 00:04:48.777542,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00210476,-22.90306889,-43.19674885,2026-04-26,ABERTO,2026-04-26 00:00:38.918733,2026-04-26 00:04:38.927943,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209352,-22.91227559,-43.16741189,2026-04-26,ABERTO,2026-04-26 00:00:41.411215,2026-04-26 00:04:40.205217,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00209942,-22.91231904,-43.16730995,2026-04-26,ABERTO,2026-04-26 00:00:46.690192,2026-04-26 00:04:47.009975,5,5,5,5,1.0,1.0
VLT-Linha 1,B35T020D00202470,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:40.829526,2026-04-26 00:04:40.534598,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00205730,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:39.559238,2026-04-26 00:04:39.444169,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00207092,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:39.744287,2026-04-26 00:04:39.603239,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00210609,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:39.748523,2026-04-26 00:04:39.419477,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204184,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:41.779704,2026-04-26 00:04:41.664811,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00208492,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:44.636311,2026-04-26 00:04:44.617439,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204581,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:38.025962,2026-04-26 00:04:37.96405,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00202397,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:39.457317,2026-04-26 00:04:39.090679,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00208028,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:54.962745,2026-04-26 00:04:55.272305,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209095,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:53.094581,2026-04-26 00:04:53.273914,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204350,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:48.707558,2026-04-26 00:04:48.822616,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204961,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:53.958289,2026-04-26 00:04:54.133419,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00205893,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:46.625091,2026-04-26 00:04:46.539488,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00206046,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:48.094129,2026-04-26 00:04:48.351082,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204515,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:57.382431,2026-04-26 00:04:57.777256,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209193,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:48.357353,2026-04-26 00:04:48.523636,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00206175,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:56.798817,2026-04-26 00:04:56.919801,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204178,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:42.158914,2026-04-26 00:04:42.079308,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00207084,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:41.081454,2026-04-26 00:04:40.892128,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00208495,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:45.306922,2026-04-26 00:04:45.320105,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00202396,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:41.463066,2026-04-26 00:04:41.110453,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00206043,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:51.920055,2026-04-26 00:04:51.852445,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209940,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:42.057388,2026-04-26 00:04:41.874235,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00205897,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:46.251071,2026-04-26 00:04:46.619165,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00205147,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:57.111654,2026-04-26 00:04:57.111573,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00201115,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:43.832975,2026-04-26 00:04:44.019654,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204655,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:49.076753,2026-04-26 00:04:49.447123,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209714,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:35.981187,2026-04-26 00:04:35.492892,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00208981,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:54.790261,2026-04-26 00:04:55.108727,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00202399,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:39.235551,2026-04-26 00:04:39.0712,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00200824,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:50.502054,2026-04-26 00:04:50.902147,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00205072,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:55.481154,2026-04-26 00:04:55.899059,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00208386,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:41.365835,2026-04-26 00:04:41.398183,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209944,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:37.864284,2026-04-26 00:04:37.902734,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209717,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:37.597391,2026-04-26 00:04:37.402326,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00207314,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:41.14903,2026-04-26 00:04:40.917098,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209266,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:39.630388,2026-04-26 00:04:39.630013,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00204341,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:52.948747,2026-04-26 00:04:53.442808,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00208915,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:35.482762,2026-04-26 00:04:35.331672,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00200827,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:43.62168,2026-04-26 00:04:43.954845,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209457,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:36.448246,2026-04-26 00:04:36.533094,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209562,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:55.617734,2026-04-26 00:04:55.61954,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209132,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:38.032808,2026-04-26 00:04:38.605163,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00209359,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:54.410959,2026-04-26 00:04:54.747513,5,5,5,0,0.0,1.0
VLT-Linha 1,B35T020D00203156,0.0,0.0,2026-04-26,ABERTO,2026-04-26 00:00:49.662965,2026-04-26 00:04:49.872019,5,5,5,0,0.0,1.0
