data,id_recurso,tipo_recurso,servico
2023-06-26,SMTR202307005758,Reprocessamento,SP766
2023-06-26,SMTR202307005758,Reprocessamento,SP801
2023-06-26,SMTR202307005758,Reprocessamento,SP803
2023-06-26,SMTR202307005758,Reprocessamento,SV394
2023-06-26,SMTR202307005758,Reprocessamento,SV474
2023-06-26,SMTR202307005758,Reprocessamento,SV692
2023-06-26,SMTR202307005758,Reprocessamento,SV777
2023-06-26,SMTR202307005758,Reprocessamento,SV790
2023-06-26,SMTR202307005758,Reprocessamento,SV831
2023-06-26,SMTR202307005758,Reprocessamento,SV878
2023-06-26,SMTR202307005758,Reprocessamento,SV899
2023-06-26,SMTR202303002183,Reprocessamento,LECD50
2023-06-26,SMTR202307005758,Reprocessamento,LECD58
2023-06-26,SMTR202307005758,Reprocessamento,LECD59
2023-06-26,SMTR202307005758,Reprocessamento,LECD60
2023-06-26,SMTR202307005758,Reprocessamento,SPA550
2023-06-26,SMTR202307005758,Reprocessamento,SPA613
2023-06-26,SMTR202307005758,Reprocessamento,SPB550
2023-06-27,SMTR202307005758,Reprocessamento,209
2023-06-27,SMTR202307005758,Reprocessamento,209
2023-06-27,SMTR202307005758,Reprocessamento,210
2023-06-27,SMTR202307005758,Reprocessamento,210
2023-06-27,SMTR202307005758,Reprocessamento,275
2023-06-27,SMTR202307005758,Reprocessamento,275
2023-06-27,SMTR202307005758,Reprocessamento,292
2023-06-27,SMTR202307005758,Reprocessamento,292
2023-06-27,SMTR202307005758,Reprocessamento,306
2023-06-27,SMTR202307005758,Reprocessamento,306
2023-06-27,SMTR202307005758,Reprocessamento,311
2023-06-27,SMTR202307005758,Reprocessamento,311
2023-06-27,SMTR202307005758,Reprocessamento,315
2023-06-27,SMTR202307005758,Reprocessamento,315
2023-06-27,SMTR202307005758,Reprocessamento,338
2023-06-27,SMTR202307005758,Reprocessamento,338
2023-06-27,SMTR202307005758,Reprocessamento,341
2023-06-27,SMTR202307005758,Reprocessamento,341
2023-06-27,SMTR202307005758,Reprocessamento,343
2023-06-27,SMTR202307005758,Reprocessamento,343
2023-06-27,SMTR202307005758,Reprocessamento,348
2023-06-27,SMTR202307005758,Reprocessamento,348
2023-06-27,SMTR202307005758,Reprocessamento,350
2023-06-27,SMTR202307005758,Reprocessamento,350
2023-06-27,SMTR202307005758,Reprocessamento,352
2023-06-27,SMTR202307005758,Reprocessamento,352
2023-06-27,SMTR202307005758,Reprocessamento,353
2023-06-27,SMTR202307005758,Reprocessamento,353
2023-06-27,SMTR202307005758,Reprocessamento,361
2023-06-27,SMTR202307005758,Reprocessamento,361
2023-06-27,SMTR202307005758,Reprocessamento,368
2023-06-27,SMTR202307005758,Reprocessamento,368
2023-06-27,SMTR202307005758,Reprocessamento,379
2023-06-27,SMTR202307005758,Reprocessamento,379
2023-06-27,SMTR202307005758,Reprocessamento,380
2023-06-27,SMTR202307005758,Reprocessamento,380
2023-06-27,SMTR202307005758,Reprocessamento,383
2023-06-27,SMTR202307005758,Reprocessamento,383
2023-06-27,SMTR202307005758,Reprocessamento,389
2023-06-27,SMTR202307005758,Reprocessamento,389
2023-06-27,SMTR202307005758,Reprocessamento,390
2023-06-27,SMTR202307005758,Reprocessamento,390
2023-06-27,SMTR202307005758,Reprocessamento,395
2023-06-27,SMTR202307005758,Reprocessamento,395
2023-06-27,SMTR202307005758,Reprocessamento,435
2023-06-27,SMTR202307005758,Reprocessamento,435
2023-06-27,SMTR202307005758,Reprocessamento,457
2023-06-27,SMTR202307005785,Reprocessamento,457
2023-06-27,SMTR202307005758,Reprocessamento,457
2023-06-27,SMTR202307005758,Reprocessamento,461
2023-06-27,SMTR202307005758,Reprocessamento,461
2023-06-27,SMTR202307005758,Reprocessamento,472
2023-06-27,SMTR202307005758,Reprocessamento,472
2023-06-27,SMTR202307005758,Reprocessamento,473
2023-06-27,SMTR202307005758,Reprocessamento,473
2023-06-27,SMTR202307005758,Reprocessamento,474
2023-06-27,SMTR202307005758,Reprocessamento,474
2023-06-27,SMTR202307005758,Reprocessamento,476
2023-06-27,SMTR202307005758,Reprocessamento,476
2023-06-27,SMTR202307005758,Reprocessamento,513
2023-06-27,SMTR202307005758,Reprocessamento,513
2023-06-27,SMTR202307005758,Reprocessamento,550
