Dia,Hora,HBV,Chuva,DirVento,VelVento,Temperatura,Pressao,Umidade,datetime
01/01/2025,13:35:00,,0.0,275,11.6,27.2,1008.1,96,2025-01-01 13:35:00
01/01/2025,13:40:00,,0.0,276,8.8,27.5,1007.8,97,2025-01-01 13:40:00
01/01/2025,13:45:00,,0.0,272,7.8,27.6,1008.1,97,2025-01-01 13:45:00
01/01/2025,13:50:00,,0.0,271,14.5,27.7,1007.8,95,2025-01-01 13:50:00
01/01/2025,13:55:00,,0.0,274,11.6,27.5,1007.8,96,2025-01-01 13:55:00
01/01/2025,14:00:00,,0.0,270,11.3,27.2,1007.6,96,2025-01-01 14:00:00
01/01/2025,14:05:00,,0.0,272,3.9,26.8,1007.6,98,2025-01-01 14:05:00
01/01/2025,14:10:00,,0.0,275,10.2,27.3,1007.5,97,2025-01-01 14:10:00
01/01/2025,14:15:00,,0.0,276,13.1,27.8,1007.3,97,2025-01-01 14:15:00
01/01/2025,14:20:00,,0.0,274,9.5,27.4,1007.3,96,2025-01-01 14:20:00
01/01/2025,14:25:00,,0.0,270,18.7,27.2,1007.1,97,2025-01-01 14:25:00
01/01/2025,14:30:00,,0.0,268,15.5,27.3,1007.1,97,2025-01-01 14:30:00
01/01/2025,14:35:00,,0.0,268,17.3,27.5,1007.3,97,2025-01-01 14:35:00
01/01/2025,14:40:00,,0.0,272,13.4,27.7,1007.3,97,2025-01-01 14:40:00
01/01/2025,14:45:00,,0.0,275,14.1,27.7,1007.1,97,2025-01-01 14:45:00
01/01/2025,14:50:00,,0.0,274,12.0,27.8,1007.1,97,2025-01-01 14:50:00
01/01/2025,14:55:00,,0.0,273,12.3,27.8,1007.3,97,2025-01-01 14:55:00
01/01/2025,15:00:00,,0.0,269,10.2,27.6,1007.1,96,2025-01-01 15:00:00
01/01/2025,15:05:00,,0.0,269,12.0,27.7,1007.1,96,2025-01-01 15:05:00
01/01/2025,15:10:00,,0.0,270,10.6,27.7,1007.3,97,2025-01-01 15:10:00
01/01/2025,15:15:00,,0.0,268,16.6,27.7,1007.6,96,2025-01-01 15:15:00
01/01/2025,15:20:00,,0.0,269,5.6,27.5,1007.8,97,2025-01-01 15:20:00
01/01/2025,15:25:00,,0.0,270,6.4,28.3,1007.8,96,2025-01-01 15:25:00
01/01/2025,15:30:00,,0.0,265,12.0,28.3,1007.8,95,2025-01-01 15:30:00
01/01/2025,15:35:00,,0.0,269,16.6,27.8,1007.6,95,2025-01-01 15:35:00
01/01/2025,15:40:00,,0.0,268,4.6,28.4,1007.6,96,2025-01-01 15:40:00
01/01/2025,15:45:00,,0.0,270,12.3,28.4,1007.6,94,2025-01-01 15:45:00
01/01/2025,15:50:00,,0.0,269,11.3,28.0,1007.6,94,2025-01-01 15:50:00
01/01/2025,15:55:00,,0.0,269,11.6,27.8,1007.7,95,2025-01-01 15:55:00
01/01/2025,16:00:00,,0.0,266,15.2,27.8,1007.3,95,2025-01-01 16:00:00
