id_operadora,id_validador,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
810012716,B35T020D00208861,2026-04-26,ABERTO,2026-04-26 00:00:41.355659,2026-04-26 00:04:41.226833,5,5,5,5,1.0,1.0
810004049,B35T020D00205302,2026-04-26,ABERTO,2026-04-26 00:00:55.650341,2026-04-26 00:04:55.995428,5,5,5,0,0.0,1.0
810000986,B35T020D00207660,2026-04-26,ABERTO,2026-04-26 00:00:03.973426,2026-04-26 00:04:04.136187,5,5,5,5,1.0,1.0
810017270,B35T020D00203925,2026-04-26,ABERTO,2026-04-26 00:00:52.714657,2026-04-26 00:04:53.154304,5,5,5,5,1.0,1.0
810017818,B35T020D00205365,2026-04-26,ABERTO,2026-04-26 00:00:34.389617,2026-04-26 00:04:34.217074,5,5,5,5,1.0,1.0
810019115,B5AT020D00600239,2026-04-26,ABERTO,2026-04-26 00:00:29.936886,2026-04-26 00:04:29.985359,5,5,5,5,1.0,1.0
810010154,B35T020D00203616,2026-04-26,ABERTO,2026-04-26 00:00:21.091008,2026-04-26 00:04:21.039577,5,5,5,5,1.0,1.0
810012017,B35T020D00205045,2026-04-26,ABERTO,2026-04-26 00:00:22.232144,2026-04-26 00:04:22.093225,5,5,5,5,1.0,1.0
810015487,B35T020D00203770,2026-04-26,ABERTO,2026-04-26 00:00:06.833685,2026-04-26 00:04:06.471974,5,5,5,5,1.0,1.0
810018750,B35T020D00204130,2026-04-26,ABERTO,2026-04-26 00:00:40.289803,2026-04-26 00:04:39.763028,5,5,5,5,1.0,1.0
810004915,B35T020D00202385,2026-04-26,ABERTO,2026-04-26 00:01:54.634779,2026-04-26 00:03:51.002384,3,3,4,4,1.0,1.0
810001299,B35T020D00210197,2026-04-26,ABERTO,2026-04-26 00:00:59.611982,2026-04-26 00:04:59.647445,5,5,5,5,1.0,1.0
463675948,B35T020D00202433,2026-04-26,ABERTO,2026-04-26 00:00:09.736249,2026-04-26 00:04:09.324099,5,5,5,5,1.0,1.0
810001439,B35T020D00202449,2026-04-26,ABERTO,2026-04-26 00:00:59.019437,2026-04-26 00:04:59.015149,5,5,5,5,1.0,1.0
810006674,B35T020D00202996,2026-04-26,ABERTO,2026-04-26 00:00:00.711678,2026-04-26 00:04:00.828277,5,5,5,5,1.0,1.0
810001350,B35T020D00208792,2026-04-26,ABERTO,2026-04-26 00:00:32.622292,2026-04-26 00:04:32.234207,5,5,5,5,1.0,1.0
810005459,B35T020D00208431,2026-04-26,ABERTO,2026-04-26 00:00:58.253128,2026-04-26 00:04:58.658991,5,5,5,5,1.0,1.0
